cust_id,lookalikes
C0083,"[('C0071', 0.9976184023055316), ('C0112', 0.9946934412390096), ('C0095', 0.9789352629799773)]"
C0084,"[('C0093', 0.9841803122746223), ('C0028', 0.9737810215310764), ('C0101', 0.9724092340262769)]"
C0085,"[('C0129', 0.9926819896144912), ('C0031', 0.9887773214799082), ('C0003', 0.9868685150718973)]"
C0086,"[('C0179', 0.997044460509775), ('C0164', 0.9906775758831025), ('C0053', 0.9897692928415579)]"
C0087,"[('C0013', 0.99915373807007), ('C0012', 0.9941855054301618), ('C0126', 0.9905359767853816)]"
C0088,"[('C0027', 0.990595944627157), ('C0106', 0.9902762151806229), ('C0178', 0.9896670993767694)]"
C0089,"[('C0063', 0.9932413533413281), ('C0014', 0.97302781564483), ('C0009', 0.9276926946733652)]"
C0090,"[('C0022', 0.9977426574508825), ('C0021', 0.9931215813650272), ('C0200', 0.98915458560293)]"
C0091,"[('C0107', 0.9969016495164754), ('C0011', 0.9953157594830085), ('C0174', 0.9941568016841981)]"
C0092,"[('C0142', 0.9939393162630328), ('C0115', 0.987123590179268), ('C0136', 0.9838847429791726)]"
C0093,"[('C0028', 0.9947057896055621), ('C0143', 0.9922186707100358), ('C0054', 0.986510276716265)]"
C0094,"[('C0157', 0.9911723988024749), ('C0030', 0.9876524645817809), ('C0185', 0.9838783411794145)]"
C0095,"[('C0071', 0.9874087700362456), ('C0112', 0.9872141942034578), ('C0077', 0.9822682139584299)]"
C0096,"[('C0148', 0.9964731374728412), ('C0011', 0.9906175618663807), ('C0108', 0.9894178378083491)]"
C0097,"[('C0080', 0.996000870898531), ('C0128', 0.9824139553487813), ('C0110', 0.9670310546629167)]"
C0098,"[('C0116', 0.9926029257780549), ('C0194', 0.9922707899315136), ('C0154', 0.9922521757988911)]"
C0099,"[('C0155', 0.9965930696645801), ('C0004', 0.9950178401599379), ('C0165', 0.9904723794599036)]"
C0100,"[('C0170', 0.9941301931201568), ('C0179', 0.9938510335544355), ('C0164', 0.9927128038768392)]"
C0101,"[('C0021', 0.9833078020023357), ('C0145', 0.9807326948469997), ('C0173', 0.9752388988286701)]"
C0102,"[('C0188', 0.9978957923561418), ('C0113', 0.9966832978986673), ('C0104', 0.9956222872921562)]"
C0103,"[('C0166', 0.9966986440670385), ('C0135', 0.9960318282986586), ('C0074', 0.9912536369081002)]"
C0104,"[('C0188', 0.9986972471052643), ('C0082', 0.9967552851412813), ('C0113', 0.995712212501872)]"
C0105,"[('C0124', 0.9956040731906919), ('C0172', 0.9832621913293477), ('C0127', 0.9827972611691665)]"
C0106,"[('C0027', 0.9976023728620296), ('C0088', 0.9902762151806229), ('C0043', 0.9833409675030458)]"
C0107,"[('C0011', 0.9994865960906777), ('C0158', 0.9972458322773888), ('C0174', 0.9972294695963762)]"
C0108,"[('C0004', 0.9981289021622486), ('C0155', 0.9947416574601295), ('C0091', 0.9915480282672373)]"
C0109,"[('C0122', 0.9823701708891958), ('C0139', 0.9793019842751396), ('C0156', 0.9601970653412869)]"
C0110,"[('C0078', 0.9987817511835098), ('C0080', 0.9795254241850644), ('C0097', 0.9670310546629167)]"
C0111,"[('C0057', 0.9844670029054815), ('C0182', 0.9827233259137658), ('C0081', 0.9814688612541309)]"
C0112,"[('C0071', 0.9992583779408937), ('C0083', 0.9946934412390096), ('C0095', 0.9872141942034578)]"
C0113,"[('C0102', 0.9966832978986673), ('C0184', 0.9960041071510053), ('C0104', 0.995712212501872)]"
C0114,"[('C0182', 0.9986563738676425), ('C0057', 0.9928292716728401), ('C0105', 0.9782033940411043)]"
C0115,"[('C0092', 0.987123590179268), ('C0142', 0.967988592238181), ('C0146', 0.9628855176248614)]"
C0116,"[('C0154', 0.9979598445360917), ('C0055', 0.9972828482219576), ('C0194', 0.993606711875355)]"
C0117,"[('C0055', 0.9949959904181344), ('C0154', 0.9914336640617025), ('C0116', 0.9872795662797803)]"
C0118,"[('C0184', 0.9969507666707726), ('C0113', 0.9889521762173619), ('C0001', 0.9879131529513822)]"
C0119,"[('C0121', 0.9939311425848527), ('C0167', 0.9843103355936129), ('C0127', 0.9822525837139274)]"
C0120,"[('C0130', 0.9748122301627674), ('C0171', 0.9739988322501427), ('C0150', 0.9733593732899378)]"
C0121,"[('C0119', 0.9939311425848527), ('C0167', 0.9844324845211877), ('C0164', 0.9769776161666137)]"
C0122,"[('C0109', 0.9823701708891958), ('C0139', 0.9802699186622607), ('C0067', 0.9782880763402272)]"
C0123,"[('C0186', 0.9958051707547612), ('C0140', 0.9949954881602677), ('C0142', 0.9795048488993112)]"
C0124,"[('C0105', 0.9956040731906919), ('C0127', 0.9907236497994293), ('C0172', 0.9889389068055251)]"
C0125,"[('C0042', 0.9956319957364959), ('C0038', 0.9897221906134785), ('C0160', 0.9895526388463766)]"
C0126,"[('C0013', 0.9926274422788046), ('C0187', 0.9919194596381662), ('C0012', 0.9906365236818887)]"
C0127,"[('C0172', 0.9916873235257279), ('C0124', 0.9907236497994293), ('C0064', 0.9895997700599443)]"
C0128,"[('C0097', 0.9824139553487813), ('C0080', 0.9758766848731587), ('C0193', 0.9713310329696214)]"
C0129,"[('C0031', 0.9966500557389889), ('C0003', 0.9964808000033136), ('C0085', 0.9926819896144912)]"
C0130,"[('C0150', 0.9903134201335898), ('C0120', 0.9748122301627674), ('C0095', 0.9574613986250361)]"
C0131,"[('C0176', 0.9990855410820386), ('C0038', 0.9901500034936058), ('C0160', 0.9895284885908386)]"
C0132,"[('C0061', 0.9995120786194757), ('C0197', 0.9994907653858986), ('C0062', 0.9993787271376487)]"
C0133,"[('C0168', 0.9889077446729135), ('C0112', 0.9824321125607068), ('C0095', 0.9809708109055243)]"
C0134,"[('C0002', 0.9966312057656763), ('C0007', 0.9905984912999307), ('C0159', 0.9888347435127341)]"
C0135,"[('C0074', 0.9965143916059402), ('C0103', 0.9960318282986586), ('C0166', 0.9941086396678709)]"
C0136,"[('C0092', 0.9838847429791726), ('C0142', 0.9768546335541664), ('C0101', 0.9717637182467015)]"
C0137,"[('C0191', 0.9996656122751927), ('C0052', 0.9938266912618523), ('C0126', 0.971711638005536)]"
C0138,"[('C0143', 0.9784025962791658), ('C0054', 0.9768089770535586), ('C0056', 0.9762583529684133)]"
C0139,"[('C0122', 0.9802699186622607), ('C0109', 0.9793019842751396), ('C0079', 0.9721304072113646)]"
C0140,"[('C0123', 0.9949954881602677), ('C0186', 0.9932849225152846), ('C0005', 0.9779413258737875)]"
C0141,"[('C0075', 0.9782615552242538), ('C0041', 0.9689482234307076), ('C0051', 0.9650283869007678)]"
C0142,"[('C0092', 0.9939393162630328), ('C0186', 0.9908473196858918), ('C0123', 0.9795048488993112)]"
C0143,"[('C0028', 0.9977773953178748), ('C0093', 0.9922186707100358), ('C0054', 0.9915306971475648)]"
C0144,"[('C0050', 0.9709046705363539), ('C0015', 0.9655522179943641), ('C0036', 0.9620197678216317)]"
C0145,"[('C0173', 0.9989126132141984), ('C0021', 0.9988642222517125), ('C0175', 0.9909368692320137)]"
C0146,"[('C0177', 0.9975793771214565), ('C0056', 0.9915136211586837), ('C0178', 0.978830971332801)]"
C0147,"[('C0184', 0.9945130188213146), ('C0113', 0.9940352536956126), ('C0118', 0.9851984526592837)]"
C0148,"[('C0096', 0.9964731374728412), ('C0158', 0.9923584158802573), ('C0155', 0.9923322364654618)]"
C0149,"[('C0135', 0.9901633788384104), ('C0196', 0.9896977055421603), ('C0053', 0.9867340174738692)]"
C0150,"[('C0130', 0.9903134201335898), ('C0120', 0.9733593732899378), ('C0083', 0.958313854517866)]"
C0151,"[('C0130', 0.8818118187954523), ('C0077', 0.8816834464198937), ('C0052', 0.8751745137122182)]"
C0152,"[('C0001', 0.9991953050425915), ('C0174', 0.9947916246842746), ('C0192', 0.9935551933682144)]"
C0153,"[('C0168', 0.9839730838666264), ('C0133', 0.974631780302894), ('C0152', 0.9724868510418181)]"
C0154,"[('C0116', 0.9979598445360917), ('C0055', 0.996856743999374), ('C0194', 0.9929844967201089)]"
C0155,"[('C0099', 0.9965930696645801), ('C0004', 0.9955983783543855), ('C0108', 0.9947416574601295)]"
C0156,"[('C0065', 0.9847368986503781), ('C0068', 0.9689787032617393), ('C0008', 0.9615371535853947)]"
C0157,"[('C0030', 0.998866438683807), ('C0034', 0.9920143912677731), ('C0094', 0.9911723988024749)]"
C0158,"[('C0107', 0.9972458322773888), ('C0011', 0.9958961692514541), ('C0148', 0.9923584158802573)]"
C0159,"[('C0005', 0.9999856116866019), ('C0007', 0.99917240909197), ('C0002', 0.9943162821931681)]"
C0160,"[('C0038', 0.9998922445696588), ('C0176', 0.9903392138326801), ('C0125', 0.9895526388463766)]"
C0161,"[('C0162', 0.9965648137441635), ('C0045', 0.9882997412220695), ('C0175', 0.9856201717039037)]"
C0162,"[('C0045', 0.9966546007715694), ('C0161', 0.9965648137441635), ('C0173', 0.9945620577657334)]"
C0163,"[('C0168', 0.9812787932775142), ('C0099', 0.9780291616378884), ('C0155', 0.9767627382540623)]"
C0164,"[('C0100', 0.9927128038768392), ('C0170', 0.992219811534207), ('C0179', 0.9919750903859152)]"
C0165,"[('C0004', 0.9954316397602608), ('C0108', 0.9914818433457241), ('C0099', 0.9904723794599036)]"
C0166,"[('C0103', 0.9966986440670385), ('C0074', 0.9961115016413732), ('C0135', 0.9941086396678709)]"
C0167,"[('C0044', 0.9902897606862224), ('C0121', 0.9844324845211877), ('C0119', 0.9843103355936129)]"
C0168,"[('C0133', 0.9889077446729135), ('C0153', 0.9839730838666264), ('C0163', 0.9812787932775142)]"
C0169,"[('C0181', 0.9911840612293312), ('C0102', 0.9892664005909613), ('C0113', 0.9865307233314624)]"
C0170,"[('C0100', 0.9941301931201568), ('C0164', 0.992219811534207), ('C0051', 0.9905889602583957)]"
C0171,"[('C0120', 0.9739988322501427), ('C0168', 0.9679535854675396), ('C0153', 0.9656069725621338)]"
C0172,"[('C0127', 0.9916873235257279), ('C0124', 0.9889389068055251), ('C0105', 0.9832621913293477)]"
C0173,"[('C0145', 0.9989126132141984), ('C0021', 0.9956886983886489), ('C0162', 0.9945620577657334)]"
C0174,"[('C0011', 0.9982850689070204), ('C0001', 0.9979451014782899), ('C0107', 0.9972294695963762)]"
C0175,"[('C0173', 0.9945210050147347), ('C0162', 0.9939062204624185), ('C0145', 0.9909368692320137)]"
C0176,"[('C0131', 0.9990855410820386), ('C0038', 0.9904730368557337), ('C0160', 0.9903392138326801)]"
C0177,"[('C0146', 0.9975793771214565), ('C0056', 0.9958626423328288), ('C0178', 0.9906056495662003)]"
C0178,"[('C0056', 0.9913076853966143), ('C0177', 0.9906056495662003), ('C0088', 0.9896670993767694)]"
C0179,"[('C0086', 0.997044460509775), ('C0053', 0.9952321876510116), ('C0100', 0.9938510335544355)]"
C0181,"[('C0190', 0.9915731969117992), ('C0169', 0.9911840612293312), ('C0076', 0.9832487247066376)]"
C0182,"[('C0114', 0.9986563738676425), ('C0057', 0.9933883399412996), ('C0111', 0.9827233259137658)]"
C0183,"[('C0016', 0.9999108290118573), ('C0030', 0.9960107763437358), ('C0026', 0.9951984833820305)]"
C0184,"[('C0118', 0.9969507666707726), ('C0113', 0.9960041071510053), ('C0147', 0.9945130188213146)]"
C0185,"[('C0016', 0.9872422705785244), ('C0026', 0.9871757917214703), ('C0183', 0.9862972908104239)]"
C0186,"[('C0123', 0.9958051707547612), ('C0140', 0.9932849225152846), ('C0142', 0.9908473196858918)]"
C0187,"[('C0195', 0.9959929251922778), ('C0126', 0.9919194596381662), ('C0012', 0.9908724675337008)]"
C0188,"[('C0104', 0.9986972471052643), ('C0082', 0.9984250377416292), ('C0102', 0.9978957923561418)]"
C0189,"[('C0024', 0.991262048828946), ('C0067', 0.9893739393657756), ('C0194', 0.9880919347436957)]"
C0190,"[('C0048', 0.9936422128215135), ('C0039', 0.9918799074154003), ('C0181', 0.9915731969117992)]"
C0191,"[('C0137', 0.9996656122751927), ('C0052', 0.9951407280171611), ('C0126', 0.9699963279818691)]"
C0192,"[('C0025', 0.9987208908135289), ('C0174', 0.9959165496045418), ('C0001', 0.9950426447982198)]"
C0193,"[('C0128', 0.9713310329696214), ('C0007', 0.9573632470755162), ('C0005', 0.9572435816089602)]"
C0194,"[('C0024', 0.9985592168441046), ('C0116', 0.993606711875355), ('C0154', 0.9929844967201089)]"
C0195,"[('C0187', 0.9959929251922778), ('C0012', 0.995321156003487), ('C0126', 0.989686818253712)]"
C0196,"[('C0135', 0.9939197439845419), ('C0074', 0.9916830536258796), ('C0149', 0.9896977055421603)]"
C0197,"[('C0061', 0.9998422450975227), ('C0132', 0.9994907653858986), ('C0062', 0.9977852139045722)]"
C0198,"[('C0073', 0.989451440768862), ('C0062', 0.9822299508844704), ('C0070', 0.98088526628964)]"
C0199,"[('C0010', 0.9998101408332858), ('C0062', 0.9969569908121478), ('C0132', 0.9967741240514253)]"
C0200,"[('C0022', 0.9949219051032818), ('C0090', 0.98915458560293), ('C0021', 0.9861139296942186)]"
